Date,Game,Boxscore Link
"Sunday, April 2, 2023",Philadelphia Phillies (2) @ Texas Rangers (4),https://www.baseball-reference.com/teams/PHI/2023.shtml
"Sunday, April 2, 2023",Atlanta Braves (4) @ Washington Nationals (7),https://www.baseball-reference.com/teams/ATL/2023.shtml
"Monday, April 3, 2023",Pittsburgh Pirates (12) @ Boston Red Sox (12),https://www.baseball-reference.com/teams/PIT/2023.shtml
"Monday, April 3, 2023",San Francisco Giants (7) @ Chicago White Sox (7),https://www.baseball-reference.com/teams/SFG/2023.shtml
"Monday, April 3, 2023",Chicago Cubs (7) @ Cincinnati Reds (7),https://www.baseball-reference.com/teams/CHC/2023.shtml
"Monday, April 3, 2023",Detroit Tigers (9) @ Houston Astros (9),https://www.baseball-reference.com/teams/DET/2023.shtml
"Monday, April 3, 2023",Toronto Blue Jays (9) @ Kansas City Royals (13),https://www.baseball-reference.com/teams/TOR/2023.shtml
"Monday, April 3, 2023",Colorado Rockies (13) @ Los Angeles Dodgers (11),https://www.baseball-reference.com/teams/COL/2023.shtml
"Monday, April 3, 2023",Minnesota Twins (10) @ Miami Marlins (10),https://www.baseball-reference.com/teams/MIN/2023.shtml
"Monday, April 3, 2023",New York Mets (10) @ Milwaukee Brewers (8),https://www.baseball-reference.com/teams/NYM/2023.shtml
"Monday, April 3, 2023",Philadelphia Phillies (8) @ New York Yankees (12),https://www.baseball-reference.com/teams/PHI/2023.shtml
"Monday, April 3, 2023",Cleveland Guardians (5) @ Oakland Athletics (5),https://www.baseball-reference.com/teams/CLE/2023.shtml
"Monday, April 3, 2023",Arizona D'Backs (5) @ San Diego Padres (7),https://www.baseball-reference.com/teams/ARI/2023.shtml
"Monday, April 3, 2023",Los Angeles Angels (8) @ Seattle Mariners (8),https://www.baseball-reference.com/teams/LAA/2023.shtml
"Monday, April 3, 2023",Atlanta Braves (2) @ St. Louis Cardinals (2),https://www.baseball-reference.com/teams/ATL/2023.shtml
"Monday, April 3, 2023",Baltimore Orioles (6) @ Texas Rangers (6),https://www.baseball-reference.com/teams/BAL/2023.shtml
"Monday, April 3, 2023",Tampa Bay Rays (4) @ Washington Nationals (4),https://www.baseball-reference.com/teams/TBR/2023.shtml
"Tuesday, April 4, 2023",Pittsburgh Pirates (12) @ Boston Red Sox (12),https://www.baseball-reference.com/teams/PIT/2023.shtml
"Tuesday, April 4, 2023",Chicago Cubs (6) @ Cincinnati Reds (6),https://www.baseball-reference.com/teams/CHC/2023.shtml
"Tuesday, April 4, 2023",Detroit Tigers (4) @ Houston Astros (4),https://www.baseball-reference.com/teams/DET/2023.shtml
"Tuesday, April 4, 2023",Toronto Blue Jays (5) @ Kansas City Royals (5),https://www.baseball-reference.com/teams/TOR/2023.shtml
"Tuesday, April 4, 2023",Colorado Rockies (5) @ Los Angeles Dodgers (1),https://www.baseball-reference.com/teams/COL/2023.shtml
"Tuesday, April 4, 2023",Minnesota Twins (1) @ Miami Marlins (9),https://www.baseball-reference.com/teams/MIN/2023.shtml
"Tuesday, April 4, 2023",New York Mets (9) @ Milwaukee Brewers (4),https://www.baseball-reference.com/teams/NYM/2023.shtml
"Tuesday, April 4, 2023",Philadelphia Phillies (4) @ New York Yankees (4),https://www.baseball-reference.com/teams/PHI/2023.shtml
"Tuesday, April 4, 2023",Cleveland Guardians (4) @ Oakland Athletics (8),https://www.baseball-reference.com/teams/CLE/2023.shtml
"Tuesday, April 4, 2023",Arizona D'Backs (11) @ San Diego Padres (11),https://www.baseball-reference.com/teams/ARI/2023.shtml
"Tuesday, April 4, 2023",Los Angeles Angels (11) @ Seattle Mariners (4),https://www.baseball-reference.com/teams/LAA/2023.shtml
"Tuesday, April 4, 2023",Atlanta Braves (7) @ St. Louis Cardinals (7),https://www.baseball-reference.com/teams/ATL/2023.shtml
"Tuesday, April 4, 2023",Baltimore Orioles (10) @ Texas Rangers (10),https://www.baseball-reference.com/teams/BAL/2023.shtml
"Tuesday, April 4, 2023",Tampa Bay Rays (4) @ Washington Nationals (4),https://www.baseball-reference.com/teams/TBR/2023.shtml
"Wednesday, April 5, 2023",Pittsburgh Pirates (7) @ Boston Red Sox (7),https://www.baseball-reference.com/teams/PIT/2023.shtml
"Wednesday, April 5, 2023",San Francisco Giants (7) @ Chicago White Sox (8),https://www.baseball-reference.com/teams/SFG/2023.shtml
"Wednesday, April 5, 2023",Detroit Tigers (8) @ Houston Astros (3),https://www.baseball-reference.com/teams/DET/2023.shtml
"Wednesday, April 5, 2023",Toronto Blue Jays (5) @ Kansas City Royals (5),https://www.baseball-reference.com/teams/TOR/2023.shtml
"Wednesday, April 5, 2023",Minnesota Twins (5) @ Miami Marlins (7),https://www.baseball-reference.com/teams/MIN/2023.shtml
"Wednesday, April 5, 2023",New York Mets (7) @ Milwaukee Brewers (4),https://www.baseball-reference.com/teams/NYM/2023.shtml
"Wednesday, April 5, 2023",Philadelphia Phillies (4) @ New York Yankees (6),https://www.baseball-reference.com/teams/PHI/2023.shtml
"Wednesday, April 5, 2023",Cleveland Guardians (4) @ Oakland Athletics (4),https://www.baseball-reference.com/teams/CLE/2023.shtml
"Wednesday, April 5, 2023",Los Angeles Angels (5) @ Seattle Mariners (5),https://www.baseball-reference.com/teams/LAA/2023.shtml
"Wednesday, April 5, 2023",Atlanta Braves (5) @ St. Louis Cardinals (5),https://www.baseball-reference.com/teams/ATL/2023.shtml
"Wednesday, April 5, 2023",Baltimore Orioles (5) @ Texas Rangers (7),https://www.baseball-reference.com/teams/BAL/2023.shtml
"Wednesday, April 5, 2023",Tampa Bay Rays (5) @ Washington Nationals (5),https://www.baseball-reference.com/teams/TBR/2023.shtml
"Thursday, April 6, 2023",Los Angeles Dodgers (7) @ Arizona D'Backs (7),https://www.baseball-reference.com/teams/LAD/2023.shtml
"Thursday, April 6, 2023",San Diego Padres (7) @ Atlanta Braves (16),https://www.baseball-reference.com/teams/SDP/2023.shtml
"Thursday, April 6, 2023",San Francisco Giants (1) @ Chicago White Sox (1),https://www.baseball-reference.com/teams/SFG/2023.shtml
"Thursday, April 6, 2023",Washington Nationals (1) @ Colorado Rockies (6),https://www.baseball-reference.com/teams/WSN/2023.shtml
"Thursday, April 6, 2023",Boston Red Sox (6) @ Detroit Tigers (6),https://www.baseball-reference.com/teams/BOS/2023.shtml
"Thursday, April 6, 2023",Toronto Blue Jays (4) @ Kansas City Royals (4),https://www.baseball-reference.com/teams/TOR/2023.shtml
"Friday, April 7, 2023",Toronto Blue Jays (6) @ Los Angeles Angels (6),https://www.baseball-reference.com/teams/TOR/2023.shtml
"Friday, April 7, 2023",Los Angeles Dodgers (6) @ Arizona D'Backs (5),https://www.baseball-reference.com/teams/LAD/2023.shtml
"Friday, April 7, 2023",San Diego Padres (7) @ Atlanta Braves (7),https://www.baseball-reference.com/teams/SDP/2023.shtml
"Friday, April 7, 2023",New York Yankees (7) @ Baltimore Orioles (2),https://www.baseball-reference.com/teams/NYY/2023.shtml
"Friday, April 7, 2023",Texas Rangers (2) @ Chicago Cubs (5),https://www.baseball-reference.com/teams/TEX/2023.shtml
"Friday, April 7, 2023",Seattle Mariners (10) @ Cleveland Guardians (10),https://www.baseball-reference.com/teams/SEA/2023.shtml
"Friday, April 7, 2023",Washington Nationals (4) @ Colorado Rockies (4),https://www.baseball-reference.com/teams/WSN/2023.shtml
"Friday, April 7, 2023",St. Louis Cardinals (4) @ Milwaukee Brewers (3),https://www.baseball-reference.com/teams/STL/2023.shtml
"Friday, April 7, 2023",Houston Astros (3) @ Minnesota Twins (9),https://www.baseball-reference.com/teams/HOU/2023.shtml
"Friday, April 7, 2023",Miami Marlins (9) @ New York Mets (5),https://www.baseball-reference.com/teams/MIA/2023.shtml
"Friday, April 7, 2023",Cincinnati Reds (5) @ Philadelphia Phillies (13),https://www.baseball-reference.com/teams/CIN/2023.shtml
